,Id,Top-Left,Bottom-Right,Centre,Top,Bottom,Left,Right,Top_Box,Bottom_Box,Left_Box,Right_Box,Cluster
325,325,"(914, 2355)","(960, 2427)","[937.0, 2391.0]","[937.0, 2355]","[937.0, 2427]","[914, 2391.0]","[960, 2391.0]","[49.05609034564414, 354]","[58.91731494221372, 332]","[88.23264701911646, 353]","[81.94205269579228, 326]",4
326,326,"(976, 2369)","(1107, 2430)","[1041.5, 2399.5]","[1041.5, 2369]","[1041.5, 2430]","[976, 2399.5]","[1107, 2399.5]","[72.71863585079137, 355]","[43.54882317583335, 333]","[88.20005668932419, 354]","[51.30789412946121, 327]",4
327,327,"(1119, 2352)","(1194, 2420)","[1156.5, 2386.0]","[1156.5, 2352]","[1156.5, 2420]","[1119, 2386.0]","[1194, 2386.0]","[44.84696199298231, 356]","[135.11661629866254, 333]","[88.32468511124169, 355]","[219.0279662508877, 317]",4
328,328,"(309, 2430)","(447, 2492)","[378.0, 2461.0]","[378.0, 2430]","[378.0, 2492]","[309, 2461.0]","[447, 2461.0]","[131.14591110667538, 348]","[150.68924978245795, 329]","[196.4185581863384, 349]","[106.10372283760829, 321]",4
329,329,"(462, 2437)","(592, 2502)","[527.0, 2469.5]","[527.0, 2437]","[527.0, 2502]","[462, 2469.5]","[592, 2469.5]","[112.92696754982842, 320]","[129.29423807734048, 330]","[150.208188857998, 319]","[161.0, 331]",4
330,330,"(607, 2430)","(699, 2516)","[653.0, 2473.0]","[653.0, 2430]","[653.0, 2516]","[607, 2473.0]","[699, 2473.0]","[107.51860304152021, 331]","[167.39548978392457, 323]","[124.45882853377658, 321]","[166.5487916497745, 351]",4
331,331,"(706, 2437)","(800, 2502)","[753.0, 2469.5]","[753.0, 2437]","[753.0, 2502]","[706, 2469.5]","[800, 2469.5]","[113.82662254499165, 324]","[150.9710237098497, 322]","[164.84310722623496, 351]","[107.83552290409686, 332]",4
332,332,"(812, 2447)","(1003, 2509)","[907.5, 2478.0]","[907.5, 2447]","[907.5, 2509]","[812, 2478.0]","[1003, 2478.0]","[127.0846174798508, 333]","[173.04984830967058, 326]","[97.08887680882914, 323]","[170.62385530751556, 354]",4
333,333,"(1015, 2440)","(1049, 2505)","[1032.0, 2472.5]","[1032.0, 2440]","[1032.0, 2505]","[1015, 2472.5]","[1049, 2472.5]","[106.89246933250256, 325]","[203.61790196345703, 355]","[168.70758726269545, 354]","[204.31409642998204, 356]",4
334,334,"(1390, 2215)","(1530, 2276)","[1460.0, 2245.5]","[1460.0, 2215]","[1460.0, 2276]","[1390, 2245.5]","[1530, 2245.5]","[101.16941237350349, 336]","[67.48518355905983, 337]","[146.11125897753396, 357]","[53.9351462406472, 335]",13
335,335,"(1549, 2198)","(1617, 2273)","[1583.0, 2235.5]","[1583.0, 2198]","[1583.0, 2273]","[1549, 2235.5]","[1617, 2235.5]","[111.95646475304586, 338]","[75.04165509901817, 337]","[114.47707194019246, 263]","[114.86513831445988, 339]",13
336,336,"(1387, 2280)","(1479, 2345)","[1433.0, 2312.5]","[1433.0, 2280]","[1433.0, 2345]","[1387, 2312.5]","[1479, 2312.5]","[90.30642280591121, 337]","[46.650294747193186, 357]","[172.50579700404273, 365]","[109.5045661148429, 358]",13
337,337,"(1496, 2276)","(1540, 2345)","[1518.0, 2310.5]","[1518.0, 2276]","[1518.0, 2345]","[1496, 2310.5]","[1540, 2310.5]","[89.13613184337763, 338]","[61.04506532063014, 358]","[111.01576464628796, 357]","[158.01344879471495, 264]",13
338,338,"(1554, 2276)","(1648, 2341)","[1601.0, 2308.5]","[1601.0, 2276]","[1601.0, 2341]","[1554, 2308.5]","[1648, 2308.5]","[108.62435270232913, 339]","[80.63808033429368, 358]","[113.1591799192624, 334]","[99.62429422585637, 359]",13
339,339,"(1665, 2276)","(1743, 2345)","[1704.0, 2310.5]","[1704.0, 2276]","[1704.0, 2345]","[1665, 2310.5]","[1743, 2310.5]","[82.08836701993772, 340]","[44.54492114708477, 359]","[147.0, 337]","[137.20058308913997, 360]",13
340,340,"(1714, 2205)","(1839, 2270)","[1776.5, 2237.5]","[1776.5, 2205]","[1776.5, 2270]","[1714, 2237.5]","[1839, 2237.5]","[143.7228235180481, 341]","[115.10864433221339, 344]","[131.01526628603247, 335]","[149.35946571945146, 267]",13
341,341,"(1861, 2205)","(1972, 2270)","[1916.5, 2237.5]","[1916.5, 2205]","[1916.5, 2270]","[1861, 2237.5]","[1972, 2237.5]","[106.60675400742676, 344]","[88.43783127146436, 345]","[155.2063143045411, 360]","[97.02061636580135, 342]",13
342,342,"(1992, 2198)","(2146, 2273)","[2069.0, 2235.5]","[2069.0, 2198]","[2069.0, 2273]","[1992, 2235.5]","[2146, 2235.5]","[110.23270839455955, 346]","[78.53979882836472, 345]","[128.27509501068397, 344]","[72.5275809606249, 343]",13
343,343,"(2158, 2205)","(2279, 2270)","[2218.5, 2237.5]","[2218.5, 2205]","[2218.5, 2270]","[2158, 2237.5]","[2279, 2237.5]","[104.43299287102711, 347]","[118.94746739632585, 364]","[91.99184746487049, 346]","[167.30585763803967, 262]",13
344,344,"(1837, 2273)","(1934, 2341)","[1885.5, 2307.0]","[1885.5, 2273]","[1885.5, 2341]","[1837, 2307.0]","[1934, 2307.0]","[116.62010975813735, 345]","[60.897454790820284, 360]","[133.0460446612375, 339]","[91.75238416520848, 361]",13
345,345,"(1953, 2273)","(2042, 2338)","[1997.5, 2305.5]","[1997.5, 2273]","[1997.5, 2338]","[1953, 2305.5]","[2042, 2305.5]","[103.09219175087898, 346]","[50.12235030403104, 361]","[132.5481044753187, 360]","[93.24430277502213, 362]",13
346,346,"(2064, 2276)","(2127, 2334)","[2095.5, 2305.0]","[2095.5, 2276]","[2095.5, 2334]","[2064, 2305.0]","[2127, 2305.0]","[113.63538181394033, 362]","[81.51380251221262, 363]","[115.26708116370432, 361]","[82.09750300709517, 347]",13
347,347,"(2144, 2270)","(2274, 2348)","[2209.0, 2309.0]","[2209.0, 2270]","[2209.0, 2348]","[2144, 2309.0]","[2274, 2309.0]","[120.79010721081424, 364]","[65.30122510336234, 363]","[100.30079760400712, 362]","[167.10026929960347, 383]",13
348,348,"(305, 2266)","(360, 2348)","[332.5, 2307.0]","[332.5, 2266]","[332.5, 2348]","[305, 2307.0]","[360, 2307.0]","[104.27128080157067, 349]","[184.84385302194931, 350]","[228.37250272307304, 321]","[225.06276902233296, 313]",4
349,349,"(372, 2266)","(486, 2345)","[429.0, 2305.5]","[429.0, 2266]","[429.0, 2345]","[372, 2305.5]","[486, 2305.5]","[95.50130889155395, 350]","[158.44320749088615, 329]","[169.24612255528928, 304]","[172.8792931498738, 305]",4
350,350,"(495, 2273)","(532, 2348)","[513.5, 2310.5]","[513.5, 2273]","[513.5, 2348]","[495, 2310.5]","[532, 2310.5]","[133.76191535710007, 305]","[96.45854031655259, 320]","[162.18816233005415, 329]","[130.5, 351]",4
351,351,"(626, 2273)","(699, 2348)","[662.5, 2310.5]","[662.5, 2273]","[662.5, 2348]","[626, 2310.5]","[699, 2310.5]","[123.81538676594279, 352]","[146.97703902310727, 321]","[178.27226368675525, 306]","[174.41688565044385, 324]",4
352,352,"(708, 2273)","(853, 2348)","[780.5, 2310.5]","[780.5, 2273]","[780.5, 2348]","[708, 2310.5]","[853, 2310.5]","[111.79557236313073, 353]","[124.57327161152989, 331]","[105.90797892510271, 322]","[108.51843161417327, 354]",4
353,353,"(865, 2273)","(909, 2341)","[887.0, 2307.0]","[887.0, 2273]","[887.0, 2341]","[865, 2307.0]","[909, 2307.0]","[84.32378075015374, 354]","[131.50380222639953, 323]","[140.6280555223601, 315]","[159.23645939294178, 317]",4
354,354,"(918, 2287)","(1005, 2338)","[961.5, 2312.5]","[961.5, 2287]","[961.5, 2338]","[918, 2312.5]","[1005, 2312.5]","[119.68291440301745, 355]","[116.98824727296328, 324]","[169.07099100673656, 308]","[158.31929762350515, 318]",4
355,355,"(1013, 2276)","(1146, 2338)","[1079.5, 2307.0]","[1079.5, 2276]","[1079.5, 2338]","[1013, 2307.0]","[1146, 2307.0]","[100.13116398005168, 356]","[152.03700207515274, 325]","[126.0, 353]","[161.8680017792275, 310]",4
356,356,"(1158, 2276)","(1189, 2345)","[1173.5, 2310.5]","[1173.5, 2276]","[1173.5, 2345]","[1158, 2310.5]","[1189, 2310.5]","[180.76573237204002, 326]","[214.47668870998544, 354]","[229.23459599283873, 309]","[245.08467924372587, 303]",4
357,357,"(1387, 2358)","(1448, 2420)","[1417.5, 2389.0]","[1417.5, 2358]","[1417.5, 2420]","[1387, 2389.0]","[1448, 2389.0]","[120.71143276425808, 365]","[129.63120766235267, 358]","[176.96963016291807, 370]","[134.93794870235726, 366]",13
358,358,"(1462, 2369)","(1629, 2430)","[1545.5, 2399.5]","[1545.5, 2369]","[1545.5, 2430]","[1462, 2399.5]","[1629, 2399.5]","[103.8484472681224, 366]","[114.83575227253924, 365]","[153.7351618856272, 370]","[77.64663547121665, 359]",13
359,359,"(1648, 2362)","(1764, 2417)","[1706.0, 2389.5]","[1706.0, 2362]","[1706.0, 2417]","[1648, 2389.5]","[1764, 2389.5]","[127.8690736652143, 367]","[96.90330231731012, 368]","[125.39936203984452, 366]","[89.05054744357274, 360]",13
360,360,"(1784, 2355)","(1922, 2430)","[1853.0, 2392.5]","[1853.0, 2355]","[1853.0, 2430]","[1784, 2392.5]","[1922, 2392.5]","[132.07005716664167, 361]","[82.10511555317366, 368]","[152.2276256137499, 367]","[79.07749363757048, 369]",13
361,361,"(1938, 2358)","(2025, 2413)","[1981.5, 2385.5]","[1981.5, 2358]","[1981.5, 2413]","[1938, 2385.5]","[2025, 2385.5]","[106.60675400742676, 362]","[80.9830229122129, 369]","[149.5535021321801, 341]","[132.015150645674, 363]",13
362,362,"(2042, 2358)","(2125, 2420)","[2083.5, 2389.0]","[2083.5, 2358]","[2083.5, 2420]","[2042, 2389.0]","[2125, 2389.0]","[79.19911615668448, 363]","[73.20689858203255, 382]","[142.75328367501743, 369]","[112.0100441924741, 364]",13
363,363,"(2134, 2352)","(2180, 2423)","[2157.0, 2387.5]","[2157.0, 2352]","[2157.0, 2423]","[2134, 2387.5]","[2180, 2387.5]","[87.52285415821402, 364]","[55.036351623268054, 382]","[124.3633788540662, 383]","[154.86203537342521, 343]",13
364,364,"(2192, 2355)","(2282, 2420)","[2237.0, 2387.5]","[2237.0, 2355]","[2237.0, 2420]","[2192, 2387.5]","[2282, 2387.5]","[114.89342888085463, 383]","[115.83609109426992, 382]","[126.95865468726423, 346]","[169.94410845922255, 376]",13
365,365,"(1385, 2451)","(1496, 2502)","[1440.5, 2476.5]","[1440.5, 2451]","[1440.5, 2502]","[1385, 2476.5]","[1496, 2476.5]","[102.82509421342633, 370]","[117.27105354690048, 366]","[170.88007490635061, 377]","[125.31759652977709, 371]",13
366,366,"(1506, 2440)","(1602, 2505)","[1554.0, 2472.5]","[1554.0, 2440]","[1554.0, 2505]","[1506, 2472.5]","[1602, 2472.5]","[114.30004374452356, 367]","[62.5879381350752, 371]","[96.10671152422186, 370]","[164.00304875214974, 338]",13
367,367,"(1612, 2454)","(1709, 2509)","[1660.5, 2481.5]","[1660.5, 2454]","[1660.5, 2509]","[1612, 2481.5]","[1709, 2481.5]","[114.82595525402782, 371]","[128.2283120063584, 368]","[105.57580215181886, 358]","[114.32956747928333, 372]",13
368,368,"(1726, 2454)","(1842, 2495)","[1784.0, 2474.5]","[1784.0, 2454]","[1784.0, 2495]","[1726, 2474.5]","[1842, 2474.5]","[95.70788891204319, 372]","[143.4381399767858, 369]","[149.0385856078888, 371]","[154.00811666921973, 373]",13
369,369,"(1859, 2434)","(1992, 2509)","[1925.5, 2471.5]","[1925.5, 2434]","[1925.5, 2509]","[1859, 2471.5]","[1992, 2471.5]","[128.69343417595164, 373]","[129.51158249361328, 372]","[164.973482717678, 381]","[104.66135867644753, 374]",13
370,370,"(1387, 2522)","(1520, 2584)","[1453.5, 2553.0]","[1453.5, 2522]","[1453.5, 2584]","[1387, 2553.0]","[1520, 2553.0]","[120.26013470805694, 377]","[103.93507588874894, 378]","[210.521376586797, 371]","[145.3151747065667, 379]",13
371,371,"(1530, 2519)","(1665, 2581)","[1597.5, 2550.0]","[1597.5, 2519]","[1597.5, 2581]","[1530, 2550.0]","[1665, 2550.0]","[126.01686395082207, 379]","[79.9155804583812, 378]","[132.66216491524628, 377]","[119.29899412819876, 380]",13
372,372,"(1682, 2522)","(1922, 2574)","[1802.0, 2548.0]","[1802.0, 2522]","[1802.0, 2574]","[1682, 2548.0]","[1922, 2548.0]","[118.29623831720095, 381]","[86.07700041242144, 380]","[84.52366532516204, 371]","[52.73755777432247, 373]",13
373,373,"(1936, 2519)","(2013, 2587)","[1974.5, 2553.0]","[1974.5, 2519]","[1974.5, 2587]","[1936, 2553.0]","[2013, 2553.0]","[94.58593975850745, 374]","[145.63739217659727, 381]","[173.56987065732346, 361]","[125.25573839150046, 375]",13
374,374,"(2025, 2519)","(2105, 2574)","[2065.0, 2546.5]","[2065.0, 2519]","[2065.0, 2574]","[2025, 2546.5]","[2105, 2546.5]","[77.4919350642375, 375]","[122.31925441237777, 382]","[166.77304938148728, 361]","[117.0, 376]",13
375,375,"(2120, 2516)","(2156, 2574)","[2138.0, 2545.0]","[2138.0, 2516]","[2138.0, 2574]","[2120, 2545.0]","[2156, 2545.0]","[43.18564576337837, 382]","[88.38693342344217, 376]","[131.36399811211595, 383]","[157.50317457118126, 363]",13
376,376,"(2170, 2519)","(2274, 2574)","[2222.0, 2546.5]","[2222.0, 2519]","[2222.0, 2574]","[2170, 2546.5]","[2274, 2546.5]","[49.80461825975579, 383]","[133.9589489358587, 382]","[159.53056133543816, 363]","[246.2341365448747, 347]",13
377,377,"(1387, 2615)","(1479, 2666)","[1433.0, 2640.5]","[1433.0, 2615]","[1433.0, 2666]","[1387, 2640.5]","[1479, 2640.5]","[111.50448421476152, 378]","[206.34073761620607, 379]","[236.8818270783979, 366]","[241.29494400007638, 367]",13
378,378,"(1489, 2604)","(1595, 2673)","[1542.0, 2638.5]","[1542.0, 2604]","[1542.0, 2673]","[1489, 2638.5]","[1595, 2638.5]","[101.54063226117907, 379]","[200.8587812369676, 366]","[169.10425778199672, 365]","[150.0, 380]",13
379,379,"(1605, 2611)","(1670, 2666)","[1637.5, 2638.5]","[1637.5, 2611]","[1637.5, 2666]","[1605, 2638.5]","[1670, 2638.5]","[110.96170510586073, 380]","[185.9280774923465, 367]","[173.65770930194836, 366]","[160.04452505474845, 372]",13
380,380,"(1685, 2618)","(1805, 2659)","[1745.0, 2638.5]","[1745.0, 2618]","[1745.0, 2659]","[1685, 2638.5]","[1805, 2638.5]","[93.55746896961247, 381]","[188.5769073879408, 368]","[158.90012586527425, 367]","[189.84335648107364, 373]",13
381,381,"(1820, 2601)","(1854, 2669)","[1837.0, 2635.0]","[1837.0, 2601]","[1837.0, 2669]","[1820, 2635.0]","[1854, 2635.0]","[137.1541104014021, 368]","[201.81798730539356, 379]","[221.36508306415445, 367]","[228.8083258974638, 374]",13
382,382,"(2093, 2434)","(2175, 2512)","[2134.0, 2473.0]","[2134.0, 2434]","[2134.0, 2512]","[2093, 2473.0]","[2175, 2473.0]","[100.01249921884764, 383]","[164.68530596261465, 373]","[141.7339056118895, 361]","[167.4873129523547, 347]",13
383,383,"(2183, 2434)","(2272, 2505)","[2227.5, 2469.5]","[2227.5, 2434]","[2227.5, 2505]","[2183, 2469.5]","[2272, 2469.5]","[150.86749152816188, 362]","[167.7155329717555, 374]","[186.3236431588863, 346]","[238.08874395905406, 343]",13
384,384,"(408, 2618)","(517, 2673)","[462.5, 2645.5]","[462.5, 2618]","[462.5, 2673]","[408, 2645.5]","[517, 2645.5]","[140.2069898400219, 389]","[104.99761902062352, 390]","[171.1636643683466, 435]","[122.01639234135715, 385]",6
385,385,"(563, 2611)","(715, 2676)","[639.0, 2643.5]","[639.0, 2611]","[639.0, 2676]","[563, 2643.5]","[715, 2643.5]","[122.25894650290424, 391]","[102.9866496202299, 390]","[163.66581805618424, 437]","[166.91989096569648, 438]",6
386,386,"(759, 2618)","(945, 2669)","[852.0, 2643.5]","[852.0, 2618]","[852.0, 2669]","[759, 2643.5]","[945, 2643.5]","[113.36886697854928, 392]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",5
387,387,"(993, 2611)","(1042, 2673)","[1017.5, 2642.0]","[1017.5, 2611]","[1017.5, 2673]","[993, 2642.0]","[1042, 2642.0]","[117.16334751107105, 388]","[72.22534181296756, 394]","[97.21368216460068, 393]","[148.73466307488647, 395]",6
388,388,"(1068, 2628)","(1189, 2669)","[1128.5, 2648.5]","[1128.5, 2628]","[1128.5, 2669]","[1068, 2648.5]","[1189, 2648.5]","[115.62547297200561, 395]","[104.1849317319928, 394]","[138.80291783676594, 393]","[170.7695816004712, 444]",6
389,389,"(305, 2693)","(454, 2769)","[379.5, 2731.0]","[379.5, 2693]","[379.5, 2769]","[305, 2731.0]","[454, 2731.0]","[118.28989813166633, 435]","[116.81181447096864, 436]","[178.76381065528895, 396]","[97.01159724486553, 390]",6
390,390,"(474, 2697)","(628, 2762)","[551.0, 2729.5]","[551.0, 2697]","[551.0, 2762]","[474, 2729.5]","[628, 2729.5]","[113.46034549568408, 437]","[79.41819690725798, 436]","[140.089257261219, 435]","[52.61653732430518, 391]",6
391,391,"(648, 2697)","(713, 2755)","[680.5, 2726.0]","[680.5, 2697]","[680.5, 2755]","[648, 2726.0]","[713, 2726.0]","[113.77719455145657, 438]","[110.47624178980746, 437]","[174.18381095842403, 399]","[185.78818584614038, 400]",6
392,392,"(759, 2704)","(904, 2755)","[831.5, 2729.5]","[831.5, 2704]","[831.5, 2755]","[759, 2729.5]","[904, 2729.5]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]","[1000000000, -1]",5
393,393,"(926, 2710)","(989, 2755)","[957.5, 2732.5]","[957.5, 2710]","[957.5, 2755]","[926, 2732.5]","[989, 2732.5]","[96.50129532809392, 394]","[58.36308764964376, 443]","[162.5945878558078, 401]","[152.8340603399648, 444]",6
394,394,"(1010, 2710)","(1090, 2765)","[1050.0, 2737.5]","[1050.0, 2710]","[1050.0, 2765]","[1010, 2737.5]","[1090, 2737.5]","[107.56393447619885, 395]","[83.72574275573791, 444]","[95.818839483684, 443]","[157.8131806916013, 402]",6
395,395,"(1112, 2710)","(1194, 2772)","[1153.0, 2741.0]","[1153.0, 2710]","[1153.0, 2772]","[1112, 2741.0]","[1194, 2741.0]","[100.57832768544127, 444]","[114.81506869744929, 403]","[154.73364210797857, 393]","[213.32193979991837, 402]",6
396,396,"(305, 2868)","(454, 2919)","[379.5, 2893.5]","[379.5, 2868]","[379.5, 2919]","[305, 2893.5]","[454, 2893.5]","[61.98790204547981, 435]","[71.61005515987263, 439]","[176.5290344390973, 404]","[40.37635446644484, 397]",6
397,397,"(464, 2857)","(524, 2919)","[494.0, 2888.0]","[494.0, 2857]","[494.0, 2919]","[464, 2888.0]","[524, 2888.0]","[46.32763753959401, 436]","[49.52272205765753, 440]","[131.10015255521253, 435]","[75.70006605016934, 398]",6
398,398,"(534, 2861)","(665, 2926)","[599.5, 2893.5]","[599.5, 2861]","[599.5, 2926]","[534, 2893.5]","[665, 2893.5]","[57.56735185849702, 437]","[112.34878726537283, 440]","[94.21517924411118, 436]","[47.32071428032337, 399]",6
399,399,"(682, 2857)","(742, 2919)","[712.0, 2888.0]","[712.0, 2857]","[712.0, 2919]","[682, 2888.0]","[742, 2888.0]","[49.663870167356066, 438]","[64.62391198310421, 441]","[100.5497389355139, 400]","[112.43887228178696, 442]",6
400,400,"(749, 2871)","(815, 2926)","[782.0, 2898.5]","[782.0, 2871]","[782.0, 2926]","[749, 2898.5]","[815, 2898.5]","[104.51076499576492, 438]","[57.34544445725397, 442]","[97.24710792614863, 441]","[77.31752712031083, 401]",6
401,401,"(839, 2864)","(945, 2919)","[892.0, 2891.5]","[892.0, 2864]","[892.0, 2919]","[839, 2891.5]","[945, 2891.5]","[77.98717843338096, 443]","[86.96263565463043, 442]","[127.04821919255697, 399]","[88.38834764831844, 445]",6
402,402,"(957, 2861)","(1119, 2912)","[1038.0, 2886.5]","[1038.0, 2861]","[1038.0, 2912]","[957, 2886.5]","[1119, 2886.5]","[99.36297097007517, 443]","[64.8459713474939, 446]","[65.19202405202648, 401]","[42.5, 403]",6
403,403,"(1131, 2857)","(1192, 2916)","[1161.5, 2886.5]","[1161.5, 2857]","[1161.5, 2916]","[1131, 2886.5]","[1192, 2886.5]","[63.90031298827886, 444]","[59.508402768012516, 448]","[89.40497749007042, 447]","[150.3238171415295, 446]",6
404,404,"(305, 3028)","(452, 3080)","[378.5, 3054.0]","[378.5, 3028]","[378.5, 3080]","[305, 3054.0]","[452, 3054.0]","[65.43699259593154, 439]","[64.04100249059192, 411]","[167.64620484818616, 412]","[53.002358438092166, 405]",6
405,405,"(481, 3021)","(529, 3086)","[505.0, 3053.5]","[505.0, 3021]","[505.0, 3086]","[481, 3053.5]","[529, 3053.5]","[53.352600686377045, 440]","[63.05751343020116, 413]","[93.98404119849285, 412]","[57.019733426244635, 406]",6
406,406,"(556, 3021)","(616, 3083)","[586.0, 3052.0]","[586.0, 3021]","[586.0, 3083]","[556, 3052.0]","[616, 3052.0]","[104.6255226988138, 440]","[79.6821811950451, 413]","[136.57415568108044, 414]","[94.5, 407]",6
407,407,"(643, 3021)","(778, 3083)","[710.5, 3052.0]","[710.5, 3021]","[710.5, 3083]","[643, 3052.0]","[778, 3052.0]","[39.90613987846983, 441]","[72.62403183519902, 414]","[138.00815193313764, 405]","[93.69364973145191, 442]",6
408,408,"(807, 3021)","(989, 3083)","[898.0, 3052.0]","[898.0, 3021]","[898.0, 3083]","[807, 3052.0]","[989, 3052.0]","[93.60822613424527, 442]","[65.20927848090331, 416]","[88.31902399823042, 415]","[80.35079339994098, 445]",6
409,409,"(1018, 3018)","(1121, 3086)","[1069.5, 3052.0]","[1069.5, 3018]","[1069.5, 3086]","[1018, 3052.0]","[1121, 3052.0]","[48.06506007486103, 446]","[60.5743344990269, 417]","[87.93321329281673, 445]","[49.02295380737476, 410]",6
410,410,"(1148, 3018)","(1192, 3083)","[1170.0, 3050.5]","[1170.0, 3018]","[1170.0, 3083]","[1148, 3050.5]","[1192, 3050.5]","[43.15669125408017, 448]","[48.74679476642541, 418]","[75.4801298356064, 447]","[148.6783440854787, 446]",6
411,411,"(302, 3107)","(416, 3175)","[359.0, 3141.0]","[359.0, 3107]","[359.0, 3175]","[302, 3141.0]","[416, 3141.0]","[95.45286795062786, 412]","[57.03069349043548, 419]","[156.24659996300718, 420]","[117.00961498953836, 413]",6
412,412,"(425, 3104)","(471, 3179)","[448.0, 3141.5]","[448.0, 3104]","[448.0, 3179]","[425, 3141.5]","[471, 3141.5]","[93.31264651696468, 413]","[45.880278987817846, 420]","[123.53643187335467, 421]","[145.72319650625292, 406]",6
413,413,"(488, 3117)","(578, 3168)","[533.0, 3142.5]","[533.0, 3117]","[533.0, 3168]","[488, 3142.5]","[578, 3142.5]","[101.59724405711013, 421]","[111.5941306700312, 422]","[96.3807553404724, 420]","[84.64779973513782, 414]",6
414,414,"(595, 3107)","(730, 3168)","[662.5, 3137.5]","[662.5, 3107]","[662.5, 3168]","[595, 3137.5]","[730, 3137.5]","[116.56114275349225, 422]","[100.4800975317998, 423]","[108.6703731474223, 421]","[89.02246907382428, 415]",6
415,415,"(744, 3114)","(894, 3165)","[819.0, 3139.5]","[819.0, 3114]","[819.0, 3165]","[744, 3139.5]","[894, 3139.5]","[107.83436372511315, 424]","[85.70005834303731, 423]","[93.69364973145191, 407]","[44.28317965096906, 416]",6
416,416,"(909, 3104)","(967, 3165)","[938.0, 3134.5]","[938.0, 3104]","[938.0, 3165]","[909, 3134.5]","[967, 3134.5]","[111.40578979568342, 425]","[104.87730927135765, 424]","[140.257798357168, 417]","[131.57697366940766, 409]",6
417,417,"(981, 3104)","(1117, 3182)","[1049.0, 3143.0]","[1049.0, 3104]","[1049.0, 3182]","[981, 3143.0]","[1117, 3143.0]","[115.69464118964197, 418]","[94.98684119392539, 491]","[79.41190087134295, 425]","[106.60792653456872, 410]",6
418,418,"(1131, 3100)","(1192, 3162)","[1161.5, 3131.0]","[1161.5, 3100]","[1161.5, 3162]","[1131, 3131.0]","[1192, 3131.0]","[103.76897416858277, 409]","[59.550398823181695, 491]","[155.73214183334153, 447]","[158.2734974656212, 448]",6
419,419,"(297, 3189)","(372, 3264)","[334.5, 3226.5]","[334.5, 3189]","[334.5, 3264]","[297, 3226.5]","[372, 3226.5]","[106.09547586961472, 420]","[48.33735615442781, 426]","[173.28012003689287, 412]","[118.06777714516353, 427]",6
420,420,"(377, 3182)","(493, 3264)","[435.0, 3223.0]","[435.0, 3182]","[435.0, 3264]","[377, 3223.0]","[493, 3223.0]","[94.15412895885129, 421]","[46.61812952060604, 427]","[79.41190087134295, 426]","[98.85469134037089, 428]",6
421,421,"(498, 3186)","(546, 3250)","[522.0, 3218.0]","[522.0, 3186]","[522.0, 3250]","[498, 3218.0]","[546, 3218.0]","[114.98804285663792, 422]","[62.843058486996, 428]","[89.23144064734134, 427]","[124.2427060233316, 429]",6
422,422,"(556, 3189)","(708, 3250)","[632.0, 3219.5]","[632.0, 3189]","[632.0, 3250]","[556, 3219.5]","[708, 3219.5]","[112.65988638375241, 429]","[110.94705944728774, 428]","[121.05060925084186, 420]","[42.60575078554537, 423]",6
423,423,"(720, 3186)","(781, 3247)","[750.5, 3216.5]","[750.5, 3186]","[750.5, 3247]","[720, 3216.5]","[781, 3216.5]","[102.1420579389313, 424]","[54.5, 430]","[118.10588469674151, 429]","[132.52263957528163, 431]",6
424,424,"(793, 3186)","(902, 3250)","[847.5, 3218.0]","[847.5, 3186]","[847.5, 3250]","[793, 3218.0]","[902, 3218.0]","[104.12012293500234, 425]","[62.01814250685037, 431]","[93.69364973145191, 430]","[129.10654514779642, 432]",6
425,425,"(911, 3186)","(984, 3244)","[947.5, 3215.0]","[947.5, 3186]","[947.5, 3244]","[911, 3215.0]","[984, 3215.0]","[124.33523233581059, 432]","[85.37124808739767, 431]","[119.01365467878045, 415]","[141.76829687909776, 433]",6
426,426,"(297, 3264)","(433, 3339)","[365.0, 3301.5]","[365.0, 3264]","[365.0, 3339]","[297, 3301.5]","[433, 3301.5]","[105.51421705154239, 427]","[176.31860366960714, 428]","[172.05885620914722, 411]","[122.03790394791284, 421]",6
427,427,"(442, 3268)","(486, 3333)","[464.0, 3300.5]","[464.0, 3268]","[464.0, 3333]","[442, 3300.5]","[486, 3300.5]","[86.20469824783333, 428]","[176.82830655751923, 429]","[159.11316727411344, 412]","[164.84234892769516, 413]",6
428,428,"(498, 3271)","(580, 3350)","[539.0, 3310.5]","[539.0, 3271]","[539.0, 3350]","[498, 3310.5]","[580, 3310.5]","[103.59174677550331, 429]","[207.58672886290202, 413]","[176.24131184259835, 412]","[170.7373714217248, 430]",6
429,429,"(592, 3274)","(684, 3329)","[638.0, 3301.5]","[638.0, 3274]","[638.0, 3329]","[592, 3301.5]","[684, 3301.5]","[115.81234821900469, 430]","[193.0608712297756, 414]","[169.59363195591985, 413]","[183.58785362871913, 424]",6
430,430,"(703, 3281)","(798, 3322)","[750.5, 3301.5]","[750.5, 3281]","[750.5, 3322]","[703, 3301.5]","[798, 3301.5]","[133.50842670033978, 422]","[134.72657495832067, 431]","[168.92675927750463, 414]","[163.35544068074378, 415]",6
431,431,"(824, 3268)","(943, 3333)","[883.5, 3300.5]","[883.5, 3268]","[883.5, 3333]","[824, 3300.5]","[943, 3300.5]","[124.31110167639896, 432]","[203.96690908086046, 415]","[186.00268815261785, 429]","[157.05094714773293, 433]",6
